No.,productname,unit,quantity,price,total,orderdate,customername,customercontactname,customeraddress,customercity,customerpostalcode,customercountry,shippername,shipperphone,suppliername,suppliercontactname,supplieraddress,suppliercity,supplierpostalcode,suppliercountry,supplierphone,categoryname,categorydescription
1,Alice Mutton,20 - 1 kg tins,30,39,1170,7/25/1996,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
2,Outback Lager,24 - 355 ml bottles,20,15,300,7/25/1996,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Beverages,"Soft drinks, coffees, teas, beers, and ales"
3,Queso Manchego La Pastora,10 - 500 g pkgs.,12,38,456,7/26/1996,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Federal Shipping,(503) 555-9931,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
4,Boston Crab Meat,24 - 4 oz tins,50,18.4,920,7/29/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Speedy Express,(503) 555-9831,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
5,Raclette Courdavault,5 kg pkg.,70,55,3850,7/29/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Speedy Express,(503) 555-9831,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
6,Lakkalikoori,500 ml,15,18,270,7/29/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Speedy Express,(503) 555-9831,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Beverages,"Soft drinks, coffees, teas, beers, and ales"
7,Thuringer Rostbratwurst,50 bags x 30 sausgs.,10,123.79,1237.9,7/30/1996,GROSELLA-Restaurante,Manuel Pereira,5ª Ave. Los Palos Grandes,Caracas,1081,Venezuela,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Meat/Poultry,Prepared meats
8,Mozzarella di Giovanni,24 - 200 g pkgs.,4,34.8,139.2,7/30/1996,GROSELLA-Restaurante,Manuel Pereira,5ª Ave. Los Palos Grandes,Caracas,1081,Venezuela,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
9,Geitost,500 g,60,2.5,150,7/31/1996,White Clover Markets,Karl Jablonski,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA,Speedy Express,(503) 555-9831,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
10,Mozzarella di Giovanni,24 - 200 g pkgs.,20,34.8,696,7/31/1996,White Clover Markets,Karl Jablonski,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA,Speedy Express,(503) 555-9831,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
11,Inlagd Sill,24 - 250 g jars,30,19,570,8/1/1996,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Speedy Express,(503) 555-9831,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
12,Ipoh Coffee,16 - 500 g tins,25,46,1150,8/1/1996,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Speedy Express,(503) 555-9831,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Beverages,"Soft drinks, coffees, teas, beers, and ales"
13,Geitost,500 g,24,2.5,60,8/1/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
14,Sir Rodney's Marmalade,30 gift boxes,6,81,486,8/2/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
15,Gorgonzola Telino,12 - 100 g pkgs,40,12.5,500,8/2/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
16,Mozzarella di Giovanni,24 - 200 g pkgs.,24,34.8,835.2,8/2/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
